百家号名称	百家号作者ID	手百ID	UserID	作者状态	是否原创	机构名称	主页	机构代码	
小飞猪观察	1561835099551960	1561835099688339	2948445021	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01561835099688339	91110106MA00367UXD	
环球火力点	1561829377070168	1561829377136095	2948391282	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01561829377136095	91110106MA00367UXD	
烽火军事网	1548611355109741	1548611355181430	1754841199	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01548611355181430	91110106MA00367UXD	
军情快报	1561830522038073	1561830522106516	2948418595	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01561830522106516	91110106MA00367UXD	
巡航者	1562439425058927	1562439425119591	2957673247	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01562439425119591	91110106MA00367UXD	
乌龙防务	1562649312092175	1562649312149606	2960804527	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01562649312149606	91110106MA00367UXD	
环球战情	1562650183808441	1562650183864849	2529290291	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01562650183864849	91110106MA00367UXD	
送历史个救生圈	1565270406002315	1565270406075569	3004635629	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01565270406075569	91110106MA00367UXD	
军迷圈2017	1562651735679991	1562651735753379	2960807058	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01562651735753379	91110106MA00367UXD	
烽火军事	1568902131043008	1568902134465028	2407949169	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01568902134465028	91110106MA00367UXD	
军情问问问	1573149923784180	1573149923960819	2981072226	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01573149923960819	91110106MA00367UXD	
军备观察	1573226088635816	1573226088845780	3013489608	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01573226088845780	91110106MA00367UXD	
1080军事台	1573404336263271	1573404336498782	3028625357	审核通过	是	鼎盛互联（北京）文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01573404336498782	91110106MA00367UXD	
沙丁鱼自由行	1563988687647054	1563988687741027	2852604616	审核通过	是	成都沙丁鱼风暴网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01563988687741027	91510100MA61UL0F2G	
口杯饮食	1572586408592226	1572586408787122	2955090996	审核通过	是	滨州市创恩网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01572586408787122	91371602MA3D51UPXW	
生活加简法	1573156735214281	1573156735402494	3007186362	审核通过	是	滨州市创恩网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01573156735402494	91371602MA3D51UPXW	
阿饱小妙招	1576482681118277	1576482681298087	3218958095	审核通过	是	滨州市创恩网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01576482681298087	91371602MA3D51UPXW	
黑娃技能厂	1576319771634707	1576319771788312	3213998285	审核通过	是	滨州市创恩网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01576319771788312	91371602MA3D51UPXW	
老李技能厂	1573640273530798	1573640273728114	3048627759	审核通过	是	滨州创点网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01573640273728114	91371602MA3DABTL5Q	
知临影视	1552567789163308	1552567789411639	2694233623	审核通过	是	北京知临影视文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01552567789411639	91110116MA0044N068	
游极	1564462269585385	1564462269662052	2551264579	审核通过	是	北京游极虚拟现实文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01564462269662052	91110108MA004XB41G	
野鹅自驾	1569992600199587	1569992604970594	2701476634	审核通过	是	北京益途科技有限公司	http://baijiahao.baidu.com/u?app_id=01569992604970594	91110114MA005F6W5H	
玩具口袋	1570159532406449	1570159538911508	2073074080	审核通过	是	北京易世联科技有限公司	http://baijiahao.baidu.com/u?app_id=01570159538911508	91110108MA00366T59	
WannaBuy	1577941205360131	1577941205876769	3260552158	审核通过	是	北京一闪互动文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01577941205876769	91110105MA00DFF394	
WISH精品餐厅指南	1554142673345620	1554142673516521	2689477003	审核通过	是	北京艳阳天儿文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01554142673516521	9111010559769696X6	
香哈菜谱	1549313593835446	1549313593929303	367451905	审核通过	是	北京香哈网络股份有限公司	http://baijiahao.baidu.com/u?app_id=01549313593929303	91110108585871978L	
萝卜汽车car	1572071840720505	1572071840891961	2887250396	审核通过	是	北京维度空间文化发展有限公司	http://baijiahao.baidu.com/u?app_id=01572071840891961	911101080765503831	
萝卜厨房	1572065984708211	1572065984889484	2912177006	审核通过	是	北京维度空间文化发展有限公司	http://baijiahao.baidu.com/u?app_id=01572065984889484	911101080765503831	
翻检老片	1559390892545281	1559390892617017	2910146125	审核通过	是	北京同舟共创信息技术有限公司	http://baijiahao.baidu.com/u?app_id=01559390892617017	91110108597716764D	
私享艺术	1553210370020110	1553210370265132	70127970	审核通过	是	北京私享时代文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01553210370265132	91110112344236367P	
搜达足球官方号	1545252486507537	1545252486507537	80487962	审核通过	是	北京求之易数据有限公司	http://baijiahao.baidu.com/u?app_id=01545252486507537	91110108760103547H	
72变	1551313382663118	1551313382871434	1675886046	审核通过	是	北京奇天大胜网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01551313382871434	911101083064976972	
迷彩虎	1545231037338715	1545231037338715	2662637045	审核通过	是	北京迷彩虎科技有限公司	http://baijiahao.baidu.com/u?app_id=01545231037338715	91110112MA00664G2A 	
口袋育儿	1542175338951887	1542175338951887	372030297	审核通过	是	北京麦田互动网络技术有限公司	http://baijiahao.baidu.com/u?app_id=01542175338951887	91110108076554333Q	
买买菌	1569075693465433	1569075701785807	3089934201	审核通过	是	北京买买菌网络科技有限公司	http://baijiahao.baidu.com/u?app_id=01569075701785807	91110105MA0018Y78T	
遇言不止	1575875644004246	1575875644146381	2931053183	审核通过	是	北京玲兰文化有限公司	http://baijiahao.baidu.com/u?app_id=01575875644146381	91110105397740364G	
职场小钢炮	1569978836591321	1569978841280331	1921135396	审核通过	是	北京伙伴领地品牌咨询有限公司	http://baijiahao.baidu.com/u?app_id=01569978841280331	911101050896940874	
了不起我的国	1568968345844237	1568968351337444	3088216372	审核通过	是	北京点兵文化传媒有限公司	http://baijiahao.baidu.com/u?app_id=01568968351337444	91110108MA00AQLF92	
春雨医生	1558933722155104	1558933722224921	1881448764	审核通过	是	北京春雨天下软件有限公司	http://baijiahao.baidu.com/u?app_id=01558933722224921	91110108579026647W	
美食欧尼酱	1565028718415775	1565028718615622	1276220411	审核通过	是	北京爆红科技有限公司	http://baijiahao.baidu.com/u?app_id=01565028718615622	91110105MA009AKK4Q	
席老湿解说	1566336826663569	1566336826912903	759979295	审核通过	是	安徽勤远至伟文化传播有限公司	http://baijiahao.baidu.com/u?app_id=01566336826912903	913401003486744443	
健康报	1574512611866933	1574512612092133	162294445	审核通过	是	《健康报》社	http://baijiahao.baidu.com/u?app_id=01574512612092133	91110101MA00AP9237	
大众摄影	1573317540160981	1573317540310023	3014839801	审核通过	是	《大众摄影》杂志社	http://baijiahao.baidu.com/u?app_id=01573317540310023	91110101MA00D0UGXD	
